max_tpb;VoltaRunTime1;VoltaRunTime2;AmpereRunTime1;AmpereRunTime2;AMDRunTime1;AMDRunTime2
0;7.30506;48.721;3.31092;34.9193;20.5149;111.512
64;8.52622;65.5872;3.51361;42.1932;15.4744;164.86
96;8.35463;52.0547;3.58881;34.075;15.4786;166.655
128;7.9516;46.3544;3.53287;32.5412;14.066;156.292
160;7.85538;46.3521;3.4286;32.6409;14.0652;155.836
192;7.85728;44.6335;3.42228;32.4794;14.0332;155.838
224;7.85982;43.9197;3.40426;30.1871;14.034;155.861
256;7.7344;37.0146;3.41843;24.8463;12.7285;147.943
288;8.60416;43.7975;4.00774;32.3018;10.7043;124.304
320;8.49052;42.9917;4.01086;31.0021;10.7078;124.3
352;8.49491;43.6102;3.98945;32.3249;10.7045;124.295
384;8.02089;39.786;3.84746;29.0142;10.7082;124.306
416;14.6937;37.3662;4.85923;25.9705;10.708;124.294
448;14.7302;37.4761;4.85564;25.8517;10.7088;125.92
480;14.6936;36.6865;4.79064;24.6314;10.7197;124.302
512;14.7081;35.5241;4.79164;24.6383;10.3934;124.287
544;28.636;35.4489;7.88503;23.8419;14.1036;124.06
576;28.6292;35.3985;7.8334;23.8437;14.1127;124.114
608;28.6386;36.2658;7.83585;23.4565;14.1175;124.087
640;28.6244;36.1837;7.83436;23.454;14.1207;124.091
672;40.9967;33.2916;12.1453;20.0532;14.1197;124.06
704;40.9842;33.2923;12.147;20.0517;13.9058;124.028
736;40.9968;33.3034;12.1435;20.0525;13.9004;124.751
768;40.9844;33.2041;12.1467;20.0328;13.6057;123.204
800;49.9978;34.6702;14.4779;18.3318;20.5634;114.723
832;49.9857;34.6722;14.4797;18.3289;20.5815;114.724
864;49.9899;34.6351;14.4806;18.3285;20.5679;114.732
896;50.0001;34.5825;14.4786;18.327;20.5657;114.742
928;145.558;34.1748;54.056;17.5622;20.5592;114.731
960;145.627;34.1802;53.5673;17.5638;20.5922;114.687
992;145.522;34.1654;53.5793;17.5657;20.554;114.728
1024;145.575;33.5384;53.5839;17.563;20.5631;111.513
1056;75.3126;36.4442;23.1722;19.4557;20.566;111.531
1088;75.4962;36.4406;23.1643;19.4612;20.5902;111.501
1120;75.2909;36.4427;23.1653;19.457;20.5632;111.513
1152;75.448;36.4602;23.1738;19.4541;20.5567;111.509
1184;89.8176;38.9244;30.0468;19.595;20.5648;111.511
1216;90.0356;38.8896;30.077;19.5916;20.5671;111.54
1248;89.7166;38.8712;30.0588;19.59;20.591;111.523
1280;89.8151;38.9665;30.0553;19.5938;20.5627;111.513
1312;110.3;41.0819;37.1097;18.9909;20.5683;111.535
1344;110.242;41.1847;37.1287;18.9917;20.5861;112.131
1376;110.266;41.0872;37.1077;18.9905;20.5823;111.543
1408;110.243;41.1622;37.1072;18.9888;20.589;111.52
1440;110.431;41.1902;37.1338;18.9899;20.5923;111.494
1472;110.485;41.0766;37.1385;18.9892;20.5821;111.551
1504;110.44;41.0881;37.134;18.9899;20.5665;111.498
1536;110.27;41.0845;37.1433;18.9874;20.563;111.51
